,count,is_french
denzel,4,False
see,4,False
dixon,4,False
tmax,4,False
ser-cour,4,False
re-pè,4,False
bruncha,4,False
nitro,4,False
sipiliday,4,False
crades,4,False
ouhouh,4,False
rafleuse,4,False
skalape,4,False
mada,4,False
chicken,4,False
burberry,4,False
te-mon,4,False
jenner,4,False
pavtar,4,False
ces-vi,4,False
légergui,4,False
longtime,4,False
limsa,4,False
kosekana,4,False
tacles,4,False
ar,4,False
zins,4,False
allahou,4,False
kesho,4,False
paille-aille-aille,4,False
está,4,False
ve-esqui,4,False
decs,4,False
fou-fou,4,False
trainés,4,False
r'tourné,4,False
nanananana,4,False
zepek,4,False
dineros,4,False
condes,4,False
amigo,4,False
joshy,4,False
mar,4,False
ballek,4,False
rer-ti,4,False
réglos,4,False
obel-bel-bel-bel-bel-bel-bel,4,False
murda,4,False
moula-la-la-la-la-la-la-la-la-la-la-la,4,False
céllo,4,False
pé-cho,4,False
dél,4,False
edition,4,False
davodka,4,False
kore,4,False
bizness,4,False
geuz,4,False
pchit,4,False
taffes,4,False
cool-al,4,False
oi-t,4,False
sista,4,False
zbigili,4,False
mucho,4,False
cdg,4,False
fln,4,False
te-ma,4,False
macky,4,False
pen,4,False
laden,4,False
tis-mé,4,False
ünkut,4,False
sound,4,False
huh,4,False
hachek,4,False
mundo,4,False
reubeu,4,False
hallelujah,4,False
ooooh,4,False
te-bê,4,False
sh-sh,4,False
x-adv,4,False
fights,4,False
shorty,4,False
raclos,4,False
na-na-na,4,False
backa,4,False
che-po,4,False
eteindre,4,False
stoooooone,4,False
kichtas,4,False
she,4,False
vien,4,False
takeshi-san,4,False
tuni,4,False
toc-toc,4,False
kenobi,4,False
phone-tel,4,False
next,4,False
vegeta,4,False
commе,4,False
dakatine,4,False
lère-ga,4,False
kozbeatz,4,False
goodbye,4,False
stories,4,False
pon,4,False
bed,4,False
maines,4,False
ruinart,4,False
ché-cra,4,False
tchoīs,4,False
ncc,4,False
fianso,4,False
rhéné,4,False
heizenberg,4,False
choco,4,False
kehba,4,False
va-t-en,4,False
nimko,4,False
ver-squi,4,False
om,4,False
tch,4,False
bonchar,4,False
yeuz,4,False
blow,4,False
bismillah,4,False
boo,4,False
anakin,4,False
benga,4,False
est-c'tu,4,False
mutoto,4,False
deb,4,False
ooo-ooo-ok,4,False
blast,4,False
haze,4,False
ler-par,4,False
chino,4,False
me-ca,4,False
del-bor,4,False
kheys,4,False
sall,4,False
friday,4,False
startac,4,False
amîn,4,False
mc's,4,False
pij,4,False
rre-gue,4,False
showcases,4,False
sí,4,False
atlético,4,False
dits-ban,4,False
dev'nir,4,False
pa-pa-pa-paw,4,False
rov,4,False
pec,4,False
échant,4,False
aç,4,False
adami,4,False
vovo,4,False
iech,4,False
peek,4,False
tos-ma,4,False
eto'o,4,False
win,4,False
asb,4,False
hell,4,False
refrés,4,False
ratatata,4,False
lilah,4,False
aulnay,4,False
genius,4,False
pull-up,4,False
cabe,4,False
mandjak,4,False
doum-doum-doum,4,False
level,4,False
selfies,4,False
zemels,4,False
kissdé,4,False
shooters,4,False
fn,4,False
koussa,4,False
kra,4,False
paradise,4,False
dorcel,4,False
suck,4,False
eso,4,False
batârd,4,False
pequeno,4,False
hash,4,False
yeah-yeah-yeah,4,False
teub,4,False
quе,4,False
ter-ters,4,False
tèc,4,False
est-c't'as,4,False
piouh,4,False
saltos,4,False
àl,4,False
paki,4,False
uno,4,False
hrtbrkboy,4,False
scè-è-ène,4,False
gogole,4,False
dugure,4,False
piff,4,False
fifa,4,False
ouzou,4,False
cata,4,False
heetch,4,False
poco,4,False
bend,4,False
cup,4,False
rafalé,4,False
doum's,4,False
mano,4,False
jusqu'en,4,False
here,4,False
capo,4,False
dolla,4,False
instrus,4,False
tate-pa,4,False
deusté,4,False
pépito,4,False
africa,4,False
clicos,4,False
yoho,4,False
tut-tururu-tutu,4,False
sheitana,4,False
ig,4,False
movie,4,False
od,4,False
mía,4,False
iens,4,False
koussi,4,False
hm,4,False
seufs,4,False
regarde-les,4,False
me-chro,4,False
bolosse,4,False
ttu-ba,4,False
soum-soum,4,False
hoover,4,False
bails-ails-ails,4,False
ré-ti,4,False
room,4,False
skinny,4,False
zness-bi,4,False
ront,4,False
plug,4,False
rene,4,False
kouma,4,False
sauv'ra,4,False
depardieu,4,False
kuta,4,False
